,Step,Value
0,1000,-21.18030548095703
1,2000,-21.966357421875
2,3000,-22.05809799194336
3,4000,-20.588233306884764
4,5000,-22.11255556335449
5,6000,-21.868328142089844
6,7000,-21.32902149194336
7,8000,-21.146244079541017
8,9000,-19.98283941799072
9,10000,-20.15717645687793
10,11000,-20.805622070653712
11,12000,-20.540935873686053
12,13000,-20.275730418919544
13,14000,-19.570477905081926
14,15000,-18.798744346465444
15,16000,-18.927987023803215
16,17000,-18.376405656029878
17,18000,-17.847861814252614
18,19000,-17.268271293443107
19,20000,-17.14575793441269
20,21000,-18.222489755122925
21,22000,-17.993650373434278
22,23000,-16.530578944377304
23,24000,-15.734511449569226
24,25000,-16.019851743883898
25,26000,-15.702441072231142
26,27000,-14.739634399227786
27,28000,-13.668978408664454
28,29000,-12.912249911379806
29,30000,-13.012697306118005
30,31000,-13.14375540959167
31,32000,-12.17723653592529
32,33000,-11.78343656760742
33,34000,-12.330962205746093
34,35000,-12.074931355173046
35,36000,-11.600078369660897
36,37000,-11.844489880787311
37,38000,-11.712013871182585
38,39000,-12.484100080100365
39,40000,-12.451887302849823
40,41000,-12.585481972101636
41,42000,-12.19895370054508
42,43000,-11.825596676256376
43,44000,-11.223035324403538
44,45000,-11.589389982850467
45,46000,-11.831543877149514
46,47000,-12.181891786595099
47,48000,-11.849001588455767
48,49000,-12.80007453126266
49,50000,-11.772014581064814
50,51000,-10.534975976070115
51,52000,-11.132817244784315
52,53000,-11.163317470754208
53,54000,-11.431441711588718
54,55000,-11.267290438973124
55,56000,-11.353750487775178
56,57000,-10.77086126058147
57,58000,-10.73828935026205
58,59000,-11.188405985824875
59,60000,-11.090772434228748
60,61000,-10.31986507110126
61,62000,-10.073087567745265
62,63000,-9.435590072201583
63,64000,-9.486648594321323
64,65000,-9.21237337985159
65,66000,-9.526050666161545
66,67000,-10.236069567353063
67,68000,-9.412220865369267
68,69000,-9.760209011936526
69,70000,-9.541931476516995
70,71000,-9.356814453064182
71,72000,-9.389220292614919
72,73000,-9.183391424216447
73,74000,-9.680055882293079
74,75000,-9.102763005700186
75,76000,-9.083790833637298
76,77000,-8.996118207681324
77,78000,-9.560198895063515
78,79000,-8.609862797996612
79,80000,-8.725717157952953
80,81000,-8.77635219163336
81,82000,-9.316241665416062
82,83000,-8.893963562435388
83,84000,-8.26014498630085
84,85000,-8.359725409817047
85,86000,-8.548447556552368
86,87000,-8.29864373783833
87,88000,-8.908090710485506
88,89000,-8.449902057524147
89,90000,-7.6935800551379705
90,91000,-8.558571357647974
91,92000,-8.246735778745332
92,93000,-7.309691498515065
93,94000,-7.522810037801309
94,95000,-8.121934553678548
95,96000,-8.329928128477507
96,97000,-9.060340284154076
97,98000,-8.972655772245137
98,99000,-8.532337092619107
99,100000,-8.96769535005964
100,101000,-8.591941352374374
101,102000,-9.399953838735435
102,103000,-9.358711621403387
103,104000,-10.395468824100249
104,105000,-9.709136671218676
105,106000,-9.116790156677089
106,107000,-9.183153423559444
107,108000,-8.879000308427633
108,109000,-8.399590780189373
109,110000,-8.328982965032846
110,111000,-8.054139626725984
111,112000,-8.776439295374928
112,113000,-8.62824124190297
113,114000,-7.811274958396643
114,115000,-8.049626885052275
115,116000,-7.93102173661848
116,117000,-7.577994288251084
117,118000,-7.319096232450232
118,119000,-7.131295510130108
119,120000,-6.9255077902452
120,121000,-6.5587344220460135
121,122000,-6.714288048043305
122,123000,-6.377742999469801
123,124000,-6.9126832911774025
124,125000,-6.879176936897
125,126000,-7.354173153521506
126,127000,-7.5178432225242355
127,128000,-7.135326366349467
128,129000,-6.868214973389633
129,130000,-6.83535061564408
130,131000,-7.038177190513311
131,132000,-6.71299681527686
132,133000,-6.910162047253227
133,134000,-7.134446013535004
134,135000,-7.021028128119263
135,136000,-7.762206337334277
136,137000,-7.680356805707266
137,138000,-7.689976934739153
138,139000,-7.001642325836977
139,140000,-6.886914618268459
140,141000,-6.493301778995871
141,142000,-6.02530977723112
142,143000,-5.676639919258041
143,144000,-6.4254536666686395
144,145000,-6.3042079955907715
145,146000,-6.338800203845664
146,147000,-6.419602499044549
147,148000,-6.349267757444868
148,149000,-7.113763075279625
149,150000,-7.519751152362372
150,151000,-7.242273395034429
151,152000,-7.399482778527544
152,153000,-6.929703753644789
153,154000,-7.998042330308409
154,155000,-7.065600526462914
155,156000,-6.169809827908613
156,157000,-6.414245613181382
157,158000,-6.757081610174012
158,159000,-6.275339017082081
159,160000,-6.209069927349748
160,161000,-6.430192438614418
161,162000,-6.411715672693292
162,163000,-6.3912265191727
163,164000,-6.127814951757838
164,165000,-6.478533985789815
165,166000,-6.946073534151871
166,167000,-6.527662278859584
167,168000,-6.5337516797771205
168,169000,-6.305427132701091
169,170000,-6.906051682357162
170,171000,-7.286688460448717
171,172000,-7.090190707476406
